nombre_medicion,Di (mm),Df (mm),ΔD (mm),D(T) (mm),T_63 (s)
2025-07-15_S_18_0.00,0.158723,0.44,0.281277,0.412301,610.8139998912811
2025-07-15_S_20_0.03,0.423183,0.38,-0.04318299999999997,0.555771,0.0
2025-07-15_S_24_0.00,0.426747,0.5,0.07325300000000001,0.492026,1364.6530001163483
2025-07-15_S_24_0.03,0.172829,0.55,0.37717100000000003,0.402778,1433.7860000133514
