nombre_medicion,Di (mm),Df (mm),ΔD (mm),D(T) (mm),T_63 (s)
2025-07-15_S_18_0.00,0.158723,0.41,0.251277,0.412301,1334.5
2025-07-15_S_20_0.03,0.423183,0.39,-0.03318299999999996,0.555771,0.0
2025-07-15_S_22_0.03,0.213199,0.29,0.07680099999999998,0.280624,160.95699977874756
2025-07-15_S_24_0.00,0.426747,0.31,-0.11674699999999999,0.492026,584.1819999217987
