nombre_medicion,Di (mm),Df (mm),ΔD (mm),D(T) (mm),T_63 (s)
2025-07-15_S_20_0.03,0.423183,0.36,-0.06318299999999999,0.555771,0.0
2025-07-15_S_24_0.00,0.426747,0.44,0.013253000000000015,0.492026,1324.5940001010895
