nombre_medicion,Di (mm),Df (mm),ΔD (mm),D(T) (mm),T_63 (s)
2025-07-15_S_18_0.00,0.158723,0.39,0.231277,0.412301,1374.8489999771118
2025-07-15_S_20_0.03,0.423183,0.42,-0.0031829999999999914,0.555771,0.0
2025-07-15_S_22_0.00,0.212166,0.38,0.167834,0.493862,581.7239999771118
2025-07-15_S_22_0.03,0.213199,0.38,0.166801,0.280624,160.95699977874756
2025-07-15_S_24_0.00,0.426747,0.42,-0.006747000000000003,0.492026,0.0
