nombre_medicion,Di (mm),Df (mm),ΔD (mm),D(T) (mm),T_63 (s)
2025-07-15_S_18_0.00,0.158723,0.25,0.091277,0.412301,449.2999999523163
2025-07-15_S_20_0.03,0.423183,0.4,-0.023182999999999954,0.555771,0.0
2025-07-15_S_22_0.03,0.213199,0.36,0.146801,0.280624,160.95699977874756
