nombre_medicion,Di (mm),Df (mm),ΔD (mm),D(T) (mm),T_63 (s)
2025-07-15_S_18_0.00,0.158723,0.58,0.42127699999999996,0.412301,812.2769999504089
2025-07-15_S_20_0.00,0.414339,0.61,0.19566099999999997,0.46563,1397.9679999351501
2025-07-15_S_20_0.03,0.423183,0.53,0.10681700000000005,0.555771,39.81400012969971
2025-07-15_S_22_0.00,0.212166,0.48,0.267834,0.493862,784.7599999904633
2025-07-15_S_22_0.03,0.213199,0.43,0.216801,0.280624,160.95699977874756
2025-07-15_S_24_0.00,0.426747,0.39,-0.036746999999999974,0.492026,80.60500001907349
2025-07-15_S_24_0.03,0.172829,0.35,0.17717099999999997,0.402778,564.5280001163483
