nombre_medicion,Di (mm),Df (mm),ΔD (mm),D(T) (mm),T_63 (s)
2025-07-15_S_18_0.00,0.158723,0.14,-0.01872299999999999,0.412301,320.09500002861023
2025-07-15_S_18_0.03,0.205144,0.2,-0.005143999999999982,0.335858,123.68700003623962
2025-07-15_S_22_0.00,0.212166,0.4,0.18783400000000003,0.493862,581.7239999771118
2025-07-15_S_24_0.00,0.426747,0.36,-0.066747,0.492026,726.4019999504089
